model,accuracy,precision,recall,f1,roc_auc,threshold,symbol,qrc_qubits
QRC-inspired 7Q + Logistic Readout,0.6730769230769231,0.2959641255605381,0.584070796460177,0.3928571428571428,0.683944374209861,0.5600000000000003,SPY,7
QRC-inspired 9Q + Logistic Readout,0.7772435897435898,0.4071428571428571,0.504424778761062,0.4505928853754941,0.7507923038290355,0.6800000000000004,SPY,9
QRC-inspired 12Q + Logistic Readout,0.5673076923076923,0.2684365781710914,0.8053097345132744,0.4026548672566372,0.7187018339885354,0.29,SPY,12
