model,f1,roc_auc
QRC-inspired 9Q + Logistic Readout,0.43268396378151736,0.711967364181989
Random Forest,0.3928346179042584,0.7148704364015931
ESN + Logistic Readout,0.37995119457026116,0.6970965371767092
