model,accuracy,precision,recall,f1,roc_auc,threshold,symbol
Random Forest,0.75,0.36129032258064514,0.49557522123893805,0.417910447761194,0.7677986942140173,0.5,SPY
ESN + Logistic Readout,0.6939102564102564,0.3010204081632653,0.5221238938053098,0.3818770226537217,0.7316211488838474,0.5,SPY
QRC-inspired 12Q + Logistic Readout,0.5673076923076923,0.26843657817109146,0.8053097345132744,0.4026548672566372,0.7187018339885354,0.29000000000000004,SPY
