model,accuracy,precision,recall,f1,roc_auc,threshold,symbol
Random Forest,0.75,0.3612903225806451,0.495575221238938,0.417910447761194,0.7677986942140173,0.5,SPY
ESN + Logistic Readout,0.6955128205128205,0.3157894736842105,0.584070796460177,0.4099378881987577,0.7407477962696777,0.5,SPY
QRC-inspired 9Q + Logistic Readout,0.7788461538461539,0.4113475177304964,0.5132743362831859,0.4566929133858268,0.7509135306444071,0.6800000000000004,SPY
Random Forest,0.7227564102564102,0.3197674418604651,0.4954954954954955,0.3886925795053003,0.6857734927910366,0.5,QQQ
ESN + Logistic Readout,0.6778846153846154,0.2916666666666667,0.5675675675675675,0.3853211009174312,0.6955552043271341,0.5,QQQ
QRC-inspired 9Q + Logistic Readout,0.5833333333333334,0.2749244712990936,0.8198198198198198,0.4117647058823529,0.6833851395254905,0.3900000000000001,QQQ
Random Forest,0.7564102564102564,0.375,0.3688524590163934,0.371900826446281,0.6910391221997257,0.5,DIA
ESN + Logistic Readout,0.6891025641025641,0.293103448275862,0.4180327868852459,0.3445945945945945,0.6549866109333159,0.5,DIA
QRC-inspired 9Q + Logistic Readout,0.6169871794871795,0.303030303030303,0.7377049180327869,0.4295942720763723,0.7016034223760694,0.3900000000000001,DIA
